partner_name,parnter_account,partner_contact_name,partner_contact_email,partner_contact_phone,partner_technical
Szesz Kft,123456781234567812345678,Kis Tamás,tamas@szesz.hu,061123456,FALSE
Bor Kft,123456781234567802468021,Kovács Anita,Anita@bor.hu,061234876,FALSE
Üditő Kft,123456789865321012345678,Prencs Csaba,Csaba@udito.hu,061234543,FALSE
Hentes Kft,123456781234567887654321,Tamás Attila,,061234323,FALSE
Zöldséges Kft,000000001234567812345678,Kovács Piros,rendeles@zgy.hu,,FALSE
Takarito Bt,,Kovács Janos,,061243387,FALSE
Karbantartó Kft,123456780000000012345678,Szerelési Ferenc,,061287650,FALSE
XY tulajdonos,,XY,,,FALSE
Rendezvény Kft,123456781234567800000000,Kis Judit,rendezveny@fds.hu,061234323,FALSE
Németh Ferenc,,Németh Ferenc,nf@gmail.com,061230000,FALSE
Napi forgalom,,,,,TRUE
